road	R283
name	Sylhet-Sunamganj Bypass Road (3rd Hazrat Shahajalal Bridge Approach Road)
length	7
from	Tali Bazar
to	Kumar Gaon
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1118
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1118&RoadNo=R283
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1118&RoadNo=R283
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1118&RoadNo=R283
