roadNo	roadId	startChainage	endChainage	width	nrLanes
R161	1397	0	0.5	6.6	2
R161	1397	0.5	2.4	5.6	2
R161	1397	2.4	5.3	5.61	2
R161	1397	5.3	8.7	5.58	2
R161	1397	8.7	10.2	5.58	2
R161	1397	10.2	13.4	5.57	2
R161	1397	13.4	16.2	5.6	2
R161	1397	16.2	20.369	5.59	2
R161	1397	20.725	25.6	5.5	2
R161	1397	25.6	29.6	5.55	2
R161	1397	29.6	32.7	5.6	2
R161	1397	32.7	36.7	5.54	2
R161	1397	36.7	43.6	5.54	2
R161	1397	43.6	44.5	4.82	1.5
R161	1397	44.5	48.6	4.78	1.5
R161	1397	48.6	52.4	4.8	1.5
R161	1397	52.4	57.1	4.8	1.5
R161	1397	57.1	61.06	5.54	2
R161	1397	61.06	61.178	10.8	3
