road	Z5054
name	Boragarirhat-Khoksharhat-Dimla Road
length	11
from	Boragarihat
to	Dimla
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1258
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1258&RoadNo=Z5054
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1258&RoadNo=Z5054
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1258&RoadNo=Z5054
