roadNo	roadId	startChainage	endChainage	width	nrLanes
Z5463	1005	0	0.935	4	1.5
Z5463	1005	0.935	2	4.3	1.5
Z5463	1005	2	3	3.7	1
Z5463	1005	3	5.085	4	1.5
Z5463	1005	5.085	5.325	5.5	2
Z5463	1005	5.325	5.5	5.5	2
Z5463	1005	5.5	5.66	12.2	4
Z5463	1005	5.66	5.8	17.5	5
Z5463	1005	5.8	5.88	9.4	3
Z5463	1005	5.88	6.405	12.2	4
Z5463	1005	6.405	6.545	5.5	2
Z5463	1005	6.545	6.56	16.2	4
Z5463	1005	6.56	8.02	3.7	1
Z5463	1005	8.02	9.14	3.7	1
Z5463	1005	9.14	18.82	3.8	1
Z5463	1005	18.82	23.54	3.2	1
Z5463	1005	23.54	23.575	3.2	1
