road	Z5804
name	Chirirbandar-Amtali Bazar-Amtali Simantha Fari Road
length	16
from	Chirirbandar
to	Amtali BOP
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1027
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1027&RoadNo=Z5804
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1027&RoadNo=Z5804
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1027&RoadNo=Z5804
