road	R711
name	Rajbari (Bagmara)-Joukura Ferryghat Road
length	6
from	Rajbari (Bagmara)
to	Joukura Ferry Ghat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1435
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1435&RoadNo=R711
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1435&RoadNo=R711
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1435&RoadNo=R711
