roadNo	roadId	startChainage	endChainage	width	nrLanes
Z4021	1516	0	1	6.6	2
Z4021	1516	1	2.01	6.7	2
Z4021	1516	2.01	3.03	6.85	2
Z4021	1516	3.03	3.712	5.9	2
Z4021	1516	3.712	4.34	4.2	1.5
Z4021	1516	4.34	5.58	4	1.5
Z4021	1516	5.58	5.62	7.4	2
Z4021	1516	5.62	6.68	6.7	2
Z4021	1516	6.68	7.78	6.7	2
Z4021	1516	7.78	10.01	6.7	2
Z4021	1516	10.01	10.41	4	1.5
Z4021	1516	10.41	10.98	6.75	2
Z4021	1516	10.98	12.53	6.75	2
Z4021	1516	12.53	15.11	6.7	2
Z4021	1516	15.11	17.32	6.7	2
Z4021	1516	17.32	19.33	6.65	2
Z4021	1516	19.33	21.17	6.7	2
Z4021	1516	21.17	22.53	6.7	2
Z4021	1516	22.53	24.63	6.6	2
Z4021	1516	24.63	25.23	6.6	2
Z4021	1516	25.23	26.55	6.7	2
Z4021	1516	26.55	26.95	6.6	2
Z4021	1516	26.95	27.68	3.8	1
Z4021	1516	27.68	28.44	5.8	2
Z4021	1516	28.44	28.87	5.4	1.5
Z4021	1516	28.87	30.09	5.4	1.5
Z4021	1516	30.09	30.53	4	1.5
Z4021	1516	30.53	31.85	4	1.5
Z4021	1516	31.85	32.68	4	1.5
Z4021	1516	32.68	33.53	4	1.5
Z4021	1516	33.53	34.04	3.8	1
Z4021	1516	34.04	36.83	3.8	1
Z4021	1516	36.83	37.93	4	1.5
Z4021	1516	37.93	38.53	4	1.5
Z4021	1516	38.53	39.125	3.8	1
