road	R547
name	Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road
length	101
from	Naogaon
to	Rohonpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1532
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1532&RoadNo=R547
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1532&RoadNo=R547
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1532&RoadNo=R547
