road	R250
name	Sylhet-Golapganj-Charkhai-Jakiganj Road
length	90
from	Sylhet (keen Bridge)
to	Jakiganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1382
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1382&RoadNo=R250
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1382&RoadNo=R250
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1382&RoadNo=R250
