road	Z5019
name	Police Line- Jalkar- Sothapir- Pakkar Matha Road
length	4
from	Police Line
to	Pakkar Matha
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1160
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1160&RoadNo=Z5019
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1160&RoadNo=Z5019
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1160&RoadNo=Z5019
