roadNo	roadId	startChainage	endChainage	width	nrLanes
R812	1417	0	0.1	10.6	3
R812	1417	0.1	1.5	5.9	2
R812	1417	1.5	2.6	5.8	2
R812	1417	2.6	4	5.75	2
R812	1417	4	5.7	5.88	2
R812	1417	5.7	6.2	6	2
R812	1417	6.2	7.8	6.1	2
R812	1417	7.8	8.14	5.4	1.5
R812	1417	8.14	8.29	10.1	3
R812	1417	8.29	8.4	11	3
R812	1417	8.4	9.94	7.4	2
R812	1417	9.94	10.15	10.2	3
R812	1417	10.15	10.2	18	4
R812	1417	10.2	10.3	7	2
R812	1417	10.3	12.4	5.5	2
R812	1417	12.4	14.4	5.4	1.5
R812	1417	14.4	16.5	5.5	2
R812	1417	16.5	18.9	5.45	1.5
R812	1417	18.9	20.3	5.43	1.5
R812	1417	20.3	22.4	5.5	2
R812	1417	22.4	24.5	5.5	2
R812	1417	24.5	26.7	5.51	2
R812	1417	26.7	28.9	5.52	2
R812	1417	28.9	30.3	5.5	2
R812	1417	30.3	32.4	5.52	2
R812	1417	32.4	34.5	5.52	2
R812	1417	34.5	34.9	7.25	2
R812	1417	34.9	36.98	5.51	2
R812	1417	36.98	38.4	5.48	1.5
R812	1417	38.4	40.245	5.5	2
R812	1417	40.245	42.285	11.1	4
