road	R450
name	Jamuna Bridge (Saidabad)-Sirajganj Road
length	9
from	Saidabad
to	Sirajganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1336
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1336&RoadNo=R450
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1336&RoadNo=R450
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1336&RoadNo=R450
