roadNo	roadId	startChainage	endChainage	width	nrLanes
Z5469	1165	0	0.025	5.5	2
Z5469	1165	0.025	0.65	3.7	1
Z5469	1165	0.65	0.73	4.9	1.5
Z5469	1165	0.73	1.3	3.7	1
Z5469	1165	1.3	2	3.7	1
Z5469	1165	2	10.05	3.7	1
Z5469	1165	10.05	10.73	3.7	1
Z5469	1165	10.73	11.6	3.7	1
Z5469	1165	11.6	11.9	3.7	1
Z5469	1165	11.9	12.35	3.7	1
Z5469	1165	12.35	12.41	3.7	1
Z5469	1165	12.41	13.13	3.7	1
Z5469	1165	13.13	13.18	3.7	1
Z5469	1165	13.18	13.62	3.7	1
Z5469	1165	13.62	13.72	3.7	1
Z5469	1165	13.72	14.1	3.7	1
Z5469	1165	14.1	14.7	3.7	1
Z5469	1165	14.7	17.5	3.7	1
Z5469	1165	17.5	17.65	3.7	1
Z5469	1165	17.65	18.42	3.7	1
Z5469	1165	18.42	19.28	3.7	1
Z5469	1165	19.28	19.88	3.7	1
Z5469	1165	19.88	20.24	3.7	1
Z5469	1165	20.24	20.4	3.7	1
Z5469	1165	20.4	21.2	3.7	1
Z5469	1165	21.2	22.1	3.7	1
Z5469	1165	22.1	22.475	5.5	2
Z5469	1165	22.475	23.76	3.7	1
Z5469	1165	23.76	23.81	6.45	2
