road	R171
name	Banshkhali (Charati)-Chunti Road
length	16
from	Charati
to	Chunti
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=898
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=898&RoadNo=R171
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=898&RoadNo=R171
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=898&RoadNo=R171
