road	R772
name	Bagerhat Town Section (Bus Stand-Basabati) Road
length	1
from	Bus Stand
to	Basabati
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1156
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1156&RoadNo=R772
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1156&RoadNo=R772
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1156&RoadNo=R772
