road	R222
name	Shaistaganj(Puranabazar)Laskarpur Railgate link Road
length	1
from	Puranabazar-Shaistaganj
to	Laskarpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1671
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1671&RoadNo=R222
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1671&RoadNo=R222
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1671&RoadNo=R222
