roadNo	roadId	startChainage	endChainage	width	nrLanes
Z4025	1233	0	0.951	3.7	1
Z4025	1233	0.951	2.691	3.07	1
Z4025	1233	2.691	3.051	5.4	1.5
Z4025	1233	3.051	3.771	5.5	2
Z4025	1233	3.771	5.437	3.7	1
Z4025	1233	5.437	6.637	3.7	1
Z4025	1233	6.637	7.934	3.65	1
Z4025	1233	7.934	8.234	3.8	1
Z4025	1233	8.234	9.964	3.8	1
Z4025	1233	9.964	10.584	3.7	1
Z4025	1233	10.584	11.034	5.3	1.5
Z4025	1233	11.034	12.234	3.8	1
Z4025	1233	12.234	13.394	3.9	1
Z4025	1233	13.394	14.154	3.8	1
Z4025	1233	14.154	14.314	3.8	1
Z4025	1233	14.314	16.75	6.1	2
