roadNo	roadId	startChainage	endChainage	width	nrLanes
R555	1362	0	0.02	6	2
R555	1362	0.02	0.5	6	2
R555	1362	0.5	1.58	6	2
R555	1362	1.58	1.78	6	2
R555	1362	1.78	2.48	6	2
R555	1362	2.48	2.58	6	2
R555	1362	2.58	3.78	5.6	2
R555	1362	3.78	3.93	5.6	2
R555	1362	3.93	7.072	5.6	2
R555	1362	7.072	7.522	5.6	2
R555	1362	7.522	13.59	5.6	2
R555	1362	13.59	13.81	5.6	2
R555	1362	13.81	17.574	5.6	2
R555	1362	17.574	18.974	7.7	2
R555	1362	18.974	19.974	6	2
R555	1362	19.974	20.524	7.5	2
R555	1362	20.524	21.015	5.4	1.5
