roadNo	roadId	startChainage	endChainage	width	nrLanes
R685	1588	0	0.03	27.6	8
R685	1588	0.03	0.15	16.5	4
R685	1588	0.15	1	12	3
R685	1588	1	1.5	9	3
R685	1588	1.5	2.8	7.5	2
R685	1588	2.8	3.03	15.5	4
R685	1588	3.03	8.8	7.5	2
R685	1588	8.8	10	7.8	2
R685	1588	10	26.35	5.5	2
R685	1588	26.35	26.96	8.2	2
R685	1588	26.96	32.55	5.5	2
R685	1588	32.55	32.8	7.5	2
R685	1588	32.8	34.3	6.9	2
R685	1588	34.3	41.5	5.5	2
R685	1588	41.5	42	7.5	2
R685	1588	42	45.105	5.5	2
R685	1588	45.105	45.365	7.5	2
R685	1588	45.365	48.45	5.5	2
R685	1588	48.45	48.56	15.5	4
R685	1588	48.56	48.95	7.5	2
R685	1588	48.95	54.25	5.5	2
R685	1588	54.25	55.5	7.5	2
R685	1588	55.5	64.37	5.5	2
R685	1588	64.37	66.38	7.35	2
R685	1588	66.38	66.42	7.5	2
