road	R211
name	Itakhola-Motkhola-Kotiadi Road
length	45
from	Itakhola
to	Kotiadi
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1477
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1477&RoadNo=R211
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1477&RoadNo=R211
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1477&RoadNo=R211
