road	R603
name	Pabna-Paksey Nadi Bandar (EPZ) Road
length	26
from	Pabna
to	Paksey (EPZ)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1518
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1518&RoadNo=R603
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1518&RoadNo=R603
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1518&RoadNo=R603
