roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1411	956	0	0.1	6	2
Z1411	956	0.1	3.05	3.65	1
Z1411	956	3.05	5.8	3.5	1
Z1411	956	5.8	11.98	3.65	1
Z1411	956	11.98	12.48	3	1
Z1411	956	12.48	12.66	5.5	2
Z1411	956	12.66	13.62	3.05	1
Z1411	956	13.62	14.53	3.65	1
Z1411	956	14.53	14.79	5.5	2
Z1411	956	14.79	14.88	3.05	1
Z1411	956	14.88	14.95	5.5	2
Z1411	956	14.95	15	3.05	1
Z1411	956	15	15.9	5.5	2
Z1411	956	15.9	16.03	3.2	1
Z1411	956	16.03	16.75	5.5	2
Z1411	956	16.75	16.9	3.2	1
Z1411	956	16.9	17.6	3.65	1
Z1411	956	17.6	17.8	5.5	2
Z1411	956	17.8	17.87	3.65	1
Z1411	956	17.87	17.95	5.5	2
Z1411	956	17.95	19.12	3.65	1
Z1411	956	19.12	19.69	4	1.5
Z1411	956	19.69	19.71	4	1.5
