road	R549
name	Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road
length	20
from	Badalgachhi
to	Joypurhat (Khanjanpur)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1384
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1384&RoadNo=R549
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1384&RoadNo=R549
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1384&RoadNo=R549
