roadNo	roadId	startChainage	endChainage	width	nrLanes
R371	1383	0	0.6	13.6	4
R371	1383	0.6	2.4	5.92	2
R371	1383	2.4	4.6	5.9	2
R371	1383	4.6	7.5	6	2
R371	1383	7.5	11.6	5.9	2
R371	1383	11.6	12.33	8	2
R371	1383	12.33	14.46	6	2
R371	1383	14.46	16.8	6	2
R371	1383	16.8	19.2	5.95	2
R371	1383	19.2	23.52	6	2
R371	1383	23.52	23.65	8.5	2
R371	1383	23.65	23.78	8.5	2
R371	1383	23.78	23.99	8.5	2
R371	1383	23.99	24.08	12.2	4
R371	1383	24.08	24.47	8.2	2
R371	1383	24.47	27.4	6	2
R371	1383	27.4	30.2	5.95	2
R371	1383	30.2	33.5	6	2
R371	1383	33.5	37.5	5.95	2
R371	1383	37.5	39.4	6	2
R371	1383	39.4	42.6	5.97	2
R371	1383	42.6	43.62	6	2
R371	1383	43.62	45.3	7.2	2
R371	1383	45.3	47.7	6	2
R371	1383	47.7	47.85	11	3
R371	1383	47.85	49.5	6	2
R371	1383	49.5	49.7	7.6	2
R371	1383	49.7	50.85	6	2
R371	1383	50.85	51	6.9	2
R371	1383	51	51.75	6	2
R371	1383	51.75	51.96	8	2
R371	1383	51.96	53.8	6	2
R371	1383	53.8	56.4	6	2
R371	1383	56.4	59.25	6.02	2
R371	1383	59.25	59.43	7.7	2
R371	1383	59.43	60.97	5.95	2
R371	1383	60.97	61.48	7.62	2
R371	1383	61.48	63.25	5.9	2
R371	1383	63.25	65.17	5.9	2
