roadNo	roadId	startChainage	endChainage	width	nrLanes
R745	1509	0	0.028	21	4
R745	1509	0.028	0.1	9	3
R745	1509	0.1	5.23	5.7	2
R745	1509	5.23	7.45	5.7	2
R745	1509	7.45	7.73	5.7	2
R745	1509	7.73	9.3	5.6	2
R745	1509	9.3	10	5.7	2
R745	1509	10	10.09	5.7	2
R745	1509	10.09	13.7	5.6	2
R745	1509	13.7	14.08	5.5	2
R745	1509	14.08	15.5	5.5	2
R745	1509	15.5	24	5.7	2
R745	1509	24	29.5	5.6	2
R745	1509	29.5	31.62	5.6	2
R745	1509	31.62	33.486	5.6	2
R745	1509	33.486	33.594	5.6	2
R745	1509	33.594	40.03	5.6	2
R745	1509	40.03	52.355	5.6	2
R745	1509	52.355	53.74	5.7	2
R745	1509	53.74	72	5.6	2
R745	1509	72	73.943	7	2
R745	1509	73.943	79.535	8.6	2
R745	1509	79.535	80.428	11.9	4
R745	1509	80.428	80.698	5.6	2
R745	1509	80.698	81.328	10.3	3
R745	1509	81.328	81.638	5.7	2
R745	1509	81.638	85.418	5.7	2
R745	1509	85.418	87.308	5.7	2
R745	1509	87.308	89.438	5.5	2
R745	1509	89.438	90.018	7	2
R745	1509	90.018	90.248	5.5	2
R745	1509	90.248	93.708	7.5	2
R745	1509	93.708	95.798	5.5	2
R745	1509	95.798	115.808	5.6	2
R745	1509	115.808	116.018	7.5	2
R745	1509	116.018	116.818	7.5	3
