road	Z1047
name	Harishchar- Bijrabazar Road
length	8
from	Harishchar
to	Birajbazar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1646
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1646&RoadNo=Z1047
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1646&RoadNo=Z1047
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1646&RoadNo=Z1047
