road	R890
name	Bhola (Paran Talukderhat)-Burhanuddin-Lalmohon-Char Fassion-Char Manika Road
length	109
from	Bhola (Paran Talukderhat)
to	Char Manika
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1576
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1576&RoadNo=R890
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1576&RoadNo=R890
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1576&RoadNo=R890
