road	R303
name	Tongi By-Pass Road
length	1
from	Tongi Bridge
to	Ranabola
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1404
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1404&RoadNo=R303
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1404&RoadNo=R303
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1404&RoadNo=R303
