roadNo	roadId	startChainage	endChainage	width	nrLanes
R890	1576	0	0.2	5.5	2
R890	1576	0.2	4.07	5.5	2
R890	1576	4.07	4.22	5.5	2
R890	1576	4.22	8	5.5	2
R890	1576	8	8.2	5.5	2
R890	1576	8.2	8.5	5.5	2
R890	1576	8.5	32.54	5.5	2
R890	1576	32.54	32.69	5	1.5
R890	1576	32.69	52.95	5.5	2
R890	1576	52.95	53.2	5.5	2
R890	1576	53.2	61.04	5.5	2
R890	1576	61.04	61.24	5.5	2
R890	1576	61.24	72.75	5.5	2
R890	1576	72.75	73.6	5.5	2
R890	1576	73.6	73.95	5.5	2
R890	1576	73.95	74.55	7	2
R890	1576	74.55	98.3	5.5	2
R890	1576	98.3	98.948	5.5	2
R890	1576	98.948	108.785	5.5	2
