roadNo	roadId	startChainage	endChainage	width	nrLanes
R110	1446	0	0.06	24.75	8
R110	1446	0.06	0.32	15.2	5
R110	1446	0.32	0.75	11.5	3
R110	1446	0.75	0.95	9.3	3
R110	1446	0.95	1.6	7.3	2
R110	1446	1.6	2	7.3	2
R110	1446	2	2.6	7.3	2
R110	1446	2.6	3.9	7.34	2
R110	1446	3.9	5.3	7.25	2
R110	1446	5.3	6.8	7.32	2
R110	1446	6.8	7.4	7.32	2
R110	1446	7.4	8.8	7.26	2
R110	1446	8.8	10.2	7.34	2
R110	1446	10.2	10.489	9.75	3
R110	1446	10.489	12.75	9.8	3
R110	1446	12.75	12.85	13.62	4
R110	1446	12.85	13.19	9.15	3
R110	1446	13.19	16.13	9.1	3
R110	1446	16.13	16.41	11.1	3
R110	1446	16.41	17.68	8.75	2
R110	1446	17.68	18.29	9	3
R110	1446	18.29	18.926	21.7	6
