roadNo	roadId	startChainage	endChainage	width	nrLanes
Z3037	1213	0	1.4	5.46	1.5
Z3037	1213	1.4	3.4	5.38	1.5
Z3037	1213	3.4	5.6	5.35	1.5
Z3037	1213	5.6	6.9	5.38	1.5
Z3037	1213	6.9	8.6	5.39	1.5
Z3037	1213	8.6	10.3	5.38	1.5
Z3037	1213	10.3	12.1	5.37	1.5
Z3037	1213	12.1	14.8	5.4	1.5
Z3037	1213	14.8	16.5	5.38	1.5
Z3037	1213	16.5	18.9	5.39	1.5
Z3037	1213	18.9	20.3	5.4	1.5
Z3037	1213	20.3	22.1	5.41	1.5
Z3037	1213	22.1	24.8	5.4	1.5
Z3037	1213	24.8	26.1	5.39	1.5
Z3037	1213	26.1	29.8	5.4	1.5
Z3037	1213	29.8	31.6	5.38	1.5
Z3037	1213	31.6	33.5	5.41	1.5
Z3037	1213	33.5	36.4	5.4	1.5
Z3037	1213	36.4	38.4	5.35	1.5
Z3037	1213	38.4	39.4	5.4	1.5
Z3037	1213	39.4	42.6	5.41	1.5
Z3037	1213	42.6	44.5	5.41	1.5
Z3037	1213	44.5	46.6	5.4	1.5
Z3037	1213	46.6	49	5.69	2
Z3037	1213	49	49.5	5.38	1.5
Z3037	1213	49.5	51.2	4	1.5
Z3037	1213	51.2	53.5	3.85	1
Z3037	1213	53.5	55.97	3.8	1
Z3037	1213	55.97	56.99	5.35	1.5
Z3037	1213	56.99	58.2	3.6	1
Z3037	1213	58.2	60.8	3.62	1
Z3037	1213	60.8	61.16	5.6	2
Z3037	1213	61.16	61.205	6.2	2
