road	R316
name	Kapasia Bazar Old Part
length	1
from	Kapasia More
to	Kapasia Bazar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1716
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1716&RoadNo=R316
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1716&RoadNo=R316
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1716&RoadNo=R316
