road	Z3042
name	Daskhin Harina - Shakchura Road
length	5
from	Daskhin Harina
to	Shakchura ( Int with Z3033)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1796
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1796&RoadNo=Z3042
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1796&RoadNo=Z3042
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1796&RoadNo=Z3042
