road	R560
name	Paglapir-Dalia-Tista Barrage Road
length	57
from	Paglapir
to	Tista Barrage
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1268
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1268&RoadNo=R560
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1268&RoadNo=R560
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1268&RoadNo=R560
