roadNo	roadId	startChainage	endChainage	width	nrLanes
R765	1151	0	0.015	15	4
R765	1151	0.015	4.01	5.5	2
R765	1151	4.01	5.215	5.5	2
R765	1151	5.215	6.8	5.5	2
R765	1151	6.8	8.2	5.5	2
R765	1151	8.2	12.02	5.5	2
R765	1151	12.02	12.902	5.5	2
R765	1151	12.902	16.107	5.5	2
R765	1151	16.107	21.405	5.5	2
R765	1151	21.405	21.52	5.5	2
R765	1151	21.52	26.311	5.5	2
R765	1151	26.311	30.62	5.5	2
R765	1151	30.62	31.254	8.7	2
R765	1151	31.254	38.086	5.6	2
R765	1151	38.086	38.225	6.5	2
R765	1151	38.225	41.36	7.3	2
R765	1151	41.36	42.928	10.3	3
R765	1151	42.928	42.943	10.3	3
