road	R114
name	Nayapur-Araihazar-Narsingdi-Raipura Road
length	46
from	Nayapur
to	Raipura
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1475
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1475&RoadNo=R114
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1475&RoadNo=R114
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1475&RoadNo=R114
