road	Z5058
name	Ullahpara-Belkuchi Road
length	16
from	Ullahpara
to	Belkuchi
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1104
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1104&RoadNo=Z5058
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1104&RoadNo=Z5058
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1104&RoadNo=Z5058
