roadNo	roadId	startChainage	endChainage	width	nrLanes
Z4017	1573	0	0.25	5.89	2
Z4017	1573	0.25	1.78	4.5	1.5
Z4017	1573	1.78	1.99	5.9	2
Z4017	1573	1.99	2.55	4	1.5
Z4017	1573	2.55	2.9	5.88	2
Z4017	1573	2.9	4.3	5.85	2
Z4017	1573	4.3	4.59	5.8	2
Z4017	1573	4.59	5.2	4.5	1.5
Z4017	1573	5.2	5.3	5.86	2
Z4017	1573	5.3	6.55	4.1	1.5
Z4017	1573	6.55	7.17	5.72	2
Z4017	1573	7.17	7.63	7.4	2
Z4017	1573	7.63	7.78	11.4	3
Z4017	1573	7.78	8.4	5	1.5
Z4017	1573	8.4	8.5	5.5	2
Z4017	1573	8.5	10.1	3.92	1
Z4017	1573	10.1	11.4	3.9	1
Z4017	1573	11.4	13.2	3.92	1
Z4017	1573	13.2	14.4	3.82	1
Z4017	1573	14.4	16.9	3.85	1
Z4017	1573	16.9	18.3	3.88	1
Z4017	1573	18.3	19.4	3.87	1
Z4017	1573	19.4	20.8	3.98	1
Z4017	1573	20.8	22.062	3.92	1
