road	R164
name	Baraichhari-Kaptai Road
length	10
from	Baraichhari
to	Kaptai
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1556
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1556&RoadNo=R164
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1556&RoadNo=R164
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1556&RoadNo=R164
