road	Z7008
name	Sripur-Langalbandh-Wapdah More Road
length	37
from	Sripur
to	Wapdah More
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=862
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=862&RoadNo=Z7008
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=862&RoadNo=Z7008
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=862&RoadNo=Z7008
