road	R145
name	Lashmipur Town Old Section
length	1
from	North Temuhuni
to	South Temuhuni
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=894
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=894&RoadNo=R145
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=894&RoadNo=R145
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=894&RoadNo=R145
