roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1407	1309	0	0.06	7.5	2
Z1407	1309	0.06	0.22	5.5	2
Z1407	1309	0.22	2.031	3.8	1
Z1407	1309	2.031	4.159	3.65	1
Z1407	1309	4.159	4.244	5.5	2
Z1407	1309	4.244	4.484	5.5	2
Z1407	1309	4.484	6.944	3.65	1
Z1407	1309	6.944	7.99	3.6	1
Z1407	1309	7.99	8.708	5.65	2
Z1407	1309	8.708	9.326	4.8	1.5
Z1407	1309	9.326	9.676	5.5	2
Z1407	1309	9.676	9.726	3.65	1
Z1407	1309	9.726	12.096	3.65	1
Z1407	1309	12.096	12.446	4.2	1.5
Z1407	1309	12.446	12.521	6.2	2
Z1407	1309	12.521	12.61	3.9	1
Z1407	1309	12.61	12.746	5.8	2
Z1407	1309	12.746	12.916	4.4	1.5
Z1407	1309	12.916	13.146	5.5	2
Z1407	1309	13.146	14.212	3.65	1
Z1407	1309	14.212	16.573	3.65	1
Z1407	1309	16.573	16.873	3.6	1
Z1407	1309	16.873	18.237	3.6	1
Z1407	1309	18.237	20.749	3.65	1
Z1407	1309	20.749	22.637	3.65	1
Z1407	1309	22.637	26.395	3.6	1
Z1407	1309	26.395	27.305	3.65	1
Z1407	1309	27.305	28.665	5.5	2
Z1407	1309	28.665	29.513	5.5	2
