roadNo	roadId	startChainage	endChainage	width	nrLanes
R241	1381	0	0.03	8.6	2
R241	1381	0.03	1.5	5.51	2
R241	1381	1.5	2.7	5.51	2
R241	1381	2.7	3.9	5.46	1.5
R241	1381	3.9	5.5	5.56	2
R241	1381	5.5	6.85	5.48	1.5
R241	1381	6.85	8.3	5.57	2
R241	1381	8.3	9.7	5.47	1.5
R241	1381	9.7	11.2	5.6	2
R241	1381	11.2	12.6	5.62	2
R241	1381	12.6	13.9	5.64	2
R241	1381	13.9	14.9	5.64	2
R241	1381	14.9	15.5	5.6	2
R241	1381	15.5	16.021	5.35	1.5
R241	1381	16.241	16.9	7.8	2
R241	1381	16.9	18.3	5.43	1.5
R241	1381	18.3	19.6	5.44	1.5
R241	1381	19.6	19.9	6.4	2
R241	1381	19.9	20.15	8.4	2
R241	1381	20.15	21.1	5.63	2
R241	1381	21.1	22.7	5.53	2
R241	1381	22.7	24.1	5.42	1.5
R241	1381	24.1	25.65	5.47	1.5
R241	1381	25.65	27.1	5.5	2
R241	1381	27.1	28.75	5.62	2
R241	1381	28.75	30.1	5.51	2
R241	1381	30.1	31.75	5.48	1.5
R241	1381	31.75	33.2	5.5	2
R241	1381	33.2	34.1	5.43	1.5
R241	1381	34.1	35.7	5.47	1.5
R241	1381	35.7	37.2	5.43	1.5
R241	1381	37.2	38.6	5.44	1.5
R241	1381	38.6	39.85	5.47	1.5
R241	1381	39.85	41.3	5.48	1.5
R241	1381	41.3	42.65	5.47	1.5
R241	1381	42.65	43.85	5.47	1.5
R241	1381	43.85	44.96	4.51	1.5
R241	1381	44.96	45.015	8.4	2
