roadNo	roadId	startChainage	endChainage	width	nrLanes
R585	896	0	0.01	5.8	2
R585	896	0.01	0.96	5.8	2
R585	896	0.96	5.122	5.7	2
R585	896	5.122	6.945	5.4	1.5
R585	896	6.945	9.99	5.4	1.5
R585	896	9.99	10.402	5.8	2
R585	896	10.402	16.006	7.8	2
R585	896	16.006	17.45	5.4	1.5
R585	896	17.45	21.06	5.4	1.5
R585	896	21.06	21.16	5.4	1.5
R585	896	21.16	25.315	5.4	1.5
R585	896	25.315	25.94	5.4	1.5
R585	896	25.94	29.42	5.4	1.5
R585	896	29.42	29.67	5.4	1.5
R585	896	29.67	44.03	5.4	1.5
R585	896	44.03	44.18	5.4	1.5
R585	896	44.18	47.14	5.4	1.5
R585	896	47.14	47.3	5.4	1.5
R585	896	47.3	52	5.4	1.5
R585	896	52	53.7	5.4	1.5
R585	896	53.7	61.32	5.4	1.5
R585	896	61.32	61.62	5.4	1.5
R585	896	61.62	62.53	5.4	1.5
R585	896	62.53	62.68	5.4	1.5
R585	896	62.68	67.27	5.8	2
R585	896	67.27	67.77	7.4	2
R585	896	67.77	68.25	6.4	2
R585	896	68.25	83.06	5.5	2
R585	896	83.06	96.29	5.6	2
R585	896	96.29	96.44	6.4	2
R585	896	96.44	96.92	5.5	2
R585	896	96.92	97.26	7.8	2
R585	896	97.26	105.26	5.5	2
R585	896	105.26	105.63	9.5	3
R585	896	105.63	106.68	5.5	2
R585	896	106.68	106.73	12	4
