roadNo	roadId	startChainage	endChainage	width	nrLanes
Z2403	1568	0	0.47	13.4	4
Z2403	1568	0.47	0.97	5.67	2
Z2403	1568	0.97	1.9	5.6	2
Z2403	1568	1.9	3.4	5.58	2
Z2403	1568	3.4	4.9	5.61	2
Z2403	1568	4.9	6.3	5.58	2
Z2403	1568	6.3	8.1	5.57	2
Z2403	1568	8.1	9.7	5.6	2
Z2403	1568	9.7	10.4	5.59	2
Z2403	1568	10.4	11.9	5.58	2
Z2403	1568	11.9	13.3	5.56	2
Z2403	1568	13.3	14.8	5.59	2
Z2403	1568	14.8	16.1	5.6	2
Z2403	1568	16.1	17.1	5.59	2
Z2403	1568	17.1	18.008	5.61	2
Z2403	1568	18.008	18.9	5.58	2
Z2403	1568	18.9	19.38	5.57	2
