road	Z7465
name	Sadarpur Bazar-Halsha Rail Bazar Road
length	17
from	Sadarpur Bazar
to	Halsha Rail Bazar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1023
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1023&RoadNo=Z7465
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1023&RoadNo=Z7465
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1023&RoadNo=Z7465
