roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1811	1486	0	1.4	5.4	1.5
Z1811	1486	1.4	6.5	3.65	1
Z1811	1486	6.5	13.4	3.65	1
Z1811	1486	13.4	18.2	3.69	1
Z1811	1486	18.2	24.6	3.66	1
Z1811	1486	24.6	32.8	3.6	1
Z1811	1486	32.8	39.6	3.63	1
Z1811	1486	39.6	49.5	3.64	1
Z1811	1486	49.5	51.4	3.61	1
Z1811	1486	51.4	62.8	3.65	1
Z1811	1486	62.8	76.616	3.61	1
Z1811	1486	105.124	113.925	3.63	1
Z1811	1486	113.925	116.646	3.67	1
Z1811	1486	186.031	186.605	3.61	1
Z1811	1486	187.157	188.65	3.61	1
Z1811	1486	188.65	192.864	3.62	1
Z1811	1486	192.864	195.229	3.62	1
Z1811	1486	195.229	196.937	4.7	1.5
