roadNo	roadId	startChainage	endChainage	width	nrLanes
R860	890	0	0.045	36	4
R860	890	0.045	0.832	5.5	2
R860	890	0.832	3.05	5.5	2
R860	890	3.05	3.154	7.5	2
R860	890	3.154	3.55	5.5	2
R860	890	3.55	5.3	5.5	2
R860	890	5.3	5.396	8.5	2
R860	890	5.396	6.35	7.5	2
R860	890	6.35	6.62	8.8	2
R860	890	6.62	7.04	7.2	2
R860	890	7.04	7.71	7.2	2
R860	890	7.71	8.461	5.5	2
R860	890	8.461	8.5	11.5	3
R860	890	8.5	9.066	5.5	2
R860	890	9.066	9.688	5.5	2
R860	890	9.688	11.338	5.7	2
R860	890	11.758	14.909	5.5	2
R860	890	14.909	17.691	5.5	2
R860	890	17.691	20.545	9.7	3
R860	890	20.545	21.06	5.5	2
R860	890	21.06	21.955	5.5	2
R860	890	21.955	22.531	5.5	2
R860	890	22.531	22.985	5.5	2
R860	890	22.985	26.835	6.4	2
R860	890	26.835	28.718	6.2	2
R860	890	28.718	28.919	7.3	2
R860	890	28.919	39.161	5.5	2
R860	890	39.161	42.598	5.5	2
R860	890	42.598	44.53	5.5	2
R860	890	44.53	51.909	5.5	2
R860	890	51.909	54.58	5.5	2
R860	890	54.58	56.674	5.5	2
R860	890	63.444	66.03	5.5	2
R860	890	66.03	66.07	11	3
R860	890	66.07	70.856	5.5	2
R860	890	70.856	71.846	5.7	2
R860	890	71.846	74.604	5.5	2
R860	890	74.604	74.634	5.5	2
