road	Z5405
name	Sirajganj (Bagbati)-Dhunat (Sonamukhi) Road
length	21
from	Bagbati
to	Sonamukhi
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1095
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1095&RoadNo=Z5405
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1095&RoadNo=Z5405
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1095&RoadNo=Z5405
