roadNo	roadId	startChainage	endChainage	width	nrLanes
R211	1477	0	0.06	16.2	4
R211	1477	0.06	0.6	5.9	2
R211	1477	0.6	2.4	5.58	2
R211	1477	2.4	3.9	5.9	2
R211	1477	3.9	5.1	5.61	2
R211	1477	5.1	6.5	5.66	2
R211	1477	6.5	6.664	7.61	2
R211	1477	6.664	7.1	5.64	2
R211	1477	7.1	7.28	9.24	3
R211	1477	7.28	11.5	6.12	2
R211	1477	11.5	11.68	7.54	2
R211	1477	11.68	15.302	5.62	2
R211	1477	15.302	15.425	7.61	2
R211	1477	15.425	19.6	5.68	2
R211	1477	19.6	19.725	8.2	2
R211	1477	19.725	20.1	5.56	2
R211	1477	20.1	21.8	5.64	2
R211	1477	21.8	23.9	5.66	2
R211	1477	23.9	25.1	5.64	2
R211	1477	25.1	26.8	5.54	2
R211	1477	26.8	28.3	5.6	2
R211	1477	28.3	29	5.51	2
R211	1477	29	29.35	7.46	2
R211	1477	29.35	32.8	5.58	2
R211	1477	32.8	34.4	5.56	2
R211	1477	34.4	36.1	5.56	2
R211	1477	36.1	37.75	5.9	2
R211	1477	37.75	39.15	5.5	2
R211	1477	39.15	41.74	5.5	2
R211	1477	41.74	41.89	9.5	3
R211	1477	41.89	43.85	5.46	1.5
R211	1477	43.85	45.072	5.5	2
R211	1477	45.072	45.114	8.5	2
