road	R821
name	Sreenagar Bazar Bypass
length	1
from	Sreenagar
to	Sreenagar Bazar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1746
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1746&RoadNo=R821
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1746&RoadNo=R821
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1746&RoadNo=R821
