roadNo	roadId	startChainage	endChainage	width	nrLanes
R315	1375	0	0.04	6.5	2
R315	1375	0.04	2.85	5.52	2
R315	1375	2.85	3.07	5.52	2
R315	1375	3.07	7.05	3.8	1
R315	1375	7.05	10.35	3.85	1
R315	1375	10.35	12.38	3.87	1
R315	1375	12.38	12.48	3.88	1
R315	1375	12.48	12.77	3.87	1
R315	1375	12.77	13.06	5.53	2
R315	1375	13.06	18.04	3.86	1
R315	1375	18.04	22.3	3.86	1
R315	1375	22.3	26.8	3.81	1
R315	1375	26.8	30.9	3.84	1
R315	1375	30.9	31.4	7.7	2
R315	1375	31.4	35.7	3.83	1
R315	1375	35.7	41.55	3.8	1
R315	1375	41.55	45	4.98	1.5
R315	1375	45	50.53	496	4
R315	1375	50.53	51.36	7	2
R315	1375	51.36	51.9	6.2	2
R315	1375	51.9	51.985	7.5	2
