roadNo	roadId	startChainage	endChainage	width	nrLanes
R370	1472	0	2	6.6	2
R370	1472	2	2.37	9.5	3
R370	1472	2.37	2.57	14.6	4
R370	1472	2.57	3.05	10.2	3
R370	1472	3.05	3.24	7.3	2
R370	1472	3.24	4.78	6.3	2
R370	1472	4.78	6.395	6.3	2
R370	1472	6.395	6.52	14	4
R370	1472	6.52	9.55	5.75	2
R370	1472	9.55	12.6	3.72	1
R370	1472	12.6	16.4	3.76	1
R370	1472	16.4	18.9	3.69	1
R370	1472	18.9	22.3	7.2	2
R370	1472	22.3	22.35	7.3	2
R370	1472	22.35	26.4	3.72	1
R370	1472	26.4	30.7	3.71	1
R370	1472	30.7	34.75	3.68	1
R370	1472	34.75	35.15	7.3	2
R370	1472	35.15	38.76	5.75	2
R370	1472	38.76	38.86	6.8	2
R370	1472	38.86	40.02	7.3	2
R370	1472	40.02	40.6	7.3	2
R370	1472	40.6	44.1	5.62	2
R370	1472	44.1	50.15	5.62	2
R370	1472	50.15	56.1	5.63	2
R370	1472	56.1	60.88	5.64	2
R370	1472	60.88	63.62	3.62	1
R370	1472	63.62	63.84	5.6	2
R370	1472	63.84	67.9	3.64	1
R370	1472	67.9	68.4	5.61	2
R370	1472	68.4	72.5	3.62	1
R370	1472	72.5	74.1	3.62	1
R370	1472	74.1	76.2	5.4	1.5
R370	1472	76.2	80.461	5.45	1.5
R370	1472	80.461	81.939	5.6	2
R370	1472	81.939	82.246	5.4	1.5
R370	1472	82.246	85.854	5.52	2
R370	1472	111.474	118.77	5.4	1.5
R370	1472	118.77	122.4	3.65	1
R370	1472	122.4	127.247	3.66	1
R370	1472	127.689	131	3.61	1
