roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1604	1204	0	0.04	10.6	3
Z1604	1204	0.04	1.585	6.2	2
Z1604	1204	1.585	5.5	3.68	1
Z1604	1204	5.5	5.59	3.7	1
Z1604	1204	5.59	6.25	3.69	1
Z1604	1204	6.25	7.5	3.64	1
Z1604	1204	7.5	11.45	3.69	1
Z1604	1204	11.45	11.89	3.8	1
Z1604	1204	11.89	12.48	3.68	1
Z1604	1204	12.48	13.55	3.68	1
Z1604	1204	13.55	14.44	3.7	1
Z1604	1204	14.44	14.485	5.5	2
Z1604	1204	14.485	19.65	3.7	1
Z1604	1204	19.65	19.79	3.8	1
Z1604	1204	19.79	23.98	3.8	1
Z1604	1204	23.98	24.925	3.85	1
