road	R881
name	Amtali-Khepupara-Kuakata Road
length	41
from	Amtali
to	Kuakata
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1615
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1615&RoadNo=R881
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1615&RoadNo=R881
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1615&RoadNo=R881
