roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1065	1066	0	0.03	2	2
Z1065	1066	0.03	0.22	5.53	2
Z1065	1066	0.22	1.7	3.62	1
Z1065	1066	1.7	3.3	3.64	1
Z1065	1066	3.3	5.11	3.67	1
Z1065	1066	5.11	8	3.67	1
Z1065	1066	8	9.6	3.68	1
Z1065	1066	9.6	11.3	3.69	1
Z1065	1066	11.3	13.73	3.67	1
Z1065	1066	13.73	15.1	5.51	2
Z1065	1066	15.1	16.9	5.52	2
Z1065	1066	16.9	17.395	5.48	1.5
Z1065	1066	17.395	19.81	3.7	1
Z1065	1066	19.81	19.92	5.41	1.5
Z1065	1066	19.92	20.45	3.68	1
Z1065	1066	20.45	20.55	5.48	1.5
Z1065	1066	20.55	22.43	3.67	1
Z1065	1066	22.43	24.7	3.66	1
Z1065	1066	24.7	25.67	3.66	1
