roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1425	1295	0	0.05	7.5	2
Z1425	1295	0.05	0.4	5.5	2
Z1425	1295	0.4	0.57	4.9	1.5
Z1425	1295	0.57	4.87	5.5	2
Z1425	1295	4.87	4.92	4.2	1.5
Z1425	1295	4.92	8.65	3.65	1
Z1425	1295	8.65	8.75	4.9	1.5
Z1425	1295	8.75	10.282	3.65	1
Z1425	1295	10.282	10.685	4	1.5
Z1425	1295	10.79	11.117	4	1.5
Z1425	1295	11.117	12.272	3.65	1
Z1425	1295	12.272	12.372	4.7	1.5
Z1425	1295	12.372	14.56	3.7	1
Z1425	1295	14.56	15.12	3.7	1
Z1425	1295	15.12	15.355	3.7	1
Z1425	1295	15.355	15.39	3.7	1
