roadNo	roadId	startChainage	endChainage	width	nrLanes
Z5855	1092	0	0.03	3.8	1
Z5855	1092	0.03	3.58	3.8	1
Z5855	1092	3.58	3.73	5.5	2
Z5855	1092	3.73	5.55	3.8	1
Z5855	1092	5.55	5.83	5.5	2
Z5855	1092	5.83	7.75	3.7	1
Z5855	1092	7.75	7.88	5.2	1.5
Z5855	1092	7.88	11.41	3.5	1
Z5855	1092	11.41	11.63	5.5	2
Z5855	1092	11.63	12.75	3.6	1
Z5855	1092	12.75	13.85	5.5	2
Z5855	1092	13.85	18.33	3.8	1
Z5855	1092	18.33	20.62	3.8	1
Z5855	1092	20.62	21.68	3.9	1
Z5855	1092	21.68	29.08	3.9	1
Z5855	1092	29.08	30.05	5	1.5
Z5855	1092	30.05	30.07	5	1.5
