road	Z6856
name	Manda-Bagmara-Atrai Road
length	47
from	Manda
to	Atrai
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1006
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1006&RoadNo=Z6856
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1006&RoadNo=Z6856
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1006&RoadNo=Z6856
