road	Z5707
name	Nilphamari-Domar Road
length	21
from	Nilphamari
to	Domar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1262
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1262&RoadNo=Z5707
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1262&RoadNo=Z5707
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1262&RoadNo=Z5707
