road	R813
name	Muktarpur Ferry Ghat to Munshiganj Road
length	3
from	Muktarpur Ferry Ghat
to	Mushiganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1442
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1442&RoadNo=R813
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1442&RoadNo=R813
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1442&RoadNo=R813
