road	Z8049
name	Agailjhara By-Pass Road
length	4
from	Agailjhara By-Pass
to	Agailjhara By-Pass
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1147
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1147&RoadNo=Z8049
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1147&RoadNo=Z8049
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1147&RoadNo=Z8049
