roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1443	920	0	0.03	6.5	2
Z1443	920	0.03	0.3	3.7	1
Z1443	920	0.3	3.5	3.7	1
Z1443	920	3.5	3.57	4.8	1.5
Z1443	920	3.57	3.63	5.5	2
Z1443	920	3.63	4	3.7	1
Z1443	920	4	4.09	7.32	2
Z1443	920	4.09	5.65	3.7	1
Z1443	920	5.65	5.75	4.2	1.5
Z1443	920	5.75	8.057	3.7	1
Z1443	920	8.057	8.877	4.5	1.5
Z1443	920	8.877	9.018	3.7	1
Z1443	920	9.018	9.73	4	1.5
Z1443	920	9.73	10.61	3.7	1
Z1443	920	10.61	10.63	3.3	1
Z1443	920	10.63	12.6	3.7	1
Z1443	920	12.6	12.8	3.7	1
