road	R312
name	Rajendrapur Chourasta-Kapasia-Toke-Motkhola Road
length	43
from	Rajendrapur Chourasta
to	Motkhola
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1500
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1500&RoadNo=R312
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1500&RoadNo=R312
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1500&RoadNo=R312
